"Dist Code","Year","State Code","State Name","Dist Name","JANUARY ACTUAL (Millimeters)","FEBRUARY ACTUAL (Millimeters)","MARCH ACTUAL (Millimeters)","APRIL ACTUAL (Millimeters)","MAY ACTUAL (Millimeters)","JUNE ACTUAL (Millimeters)","JULY ACTUAL (Millimeters)","AUGUST ACTUAL (Millimeters)","SEPTEMBER ACTUAL (Millimeters)","OCTOBER ACTUAL (Millimeters)","NOVEMBER ACTUAL (Millimeters)","DECEMBER ACTUAL (Millimeters)"
"121","1958","3","Gujarat","Ahmedabad","33.14","24.33","14.97","9.79","6.29","62.85","141.59","125.41","140.8","108.92","61.48","36.67"
"121","1959","3","Gujarat","Ahmedabad","33.0","23.67","14.62","11.75","6.22","61.24","142.94","128.21","137.65","107.34","58.83","40.8"
"121","1960","3","Gujarat","Ahmedabad","33.28","22.18","12.8","8.32","7.69","105.42","143.43","92.57","89.45","9.55","3.72","3.3"
"121","1961","3","Gujarat","Ahmedabad","2.28","6.81","1.56","1.33","3.37","88.93","136.49","125.18","136.5","87.42","45.53","31.77"
"121","1962","3","Gujarat","Ahmedabad","21.15","14.88","45.82","8.75","7.12","34.79","141.68","114.12","136.47","35.27","22.48","13.91"
"121","1963","3","Gujarat","Ahmedabad","13.12","5.63","31.28","5.55","4.25","36.23","145.05","130.56","141.56","94.86","58.88","35.72"
"121","1964","3","Gujarat","Ahmedabad","25.51","15.91","9.65","6.47","13.44","51.83","141.23","131.28","133.17","80.56","46.53","26.61"
"121","1965","3","Gujarat","Ahmedabad","26.43","11.74","13.79","6.17","5.01","5.48","143.85","125.31","94.97","69.08","33.93","18.8"
"121","1966","3","Gujarat","Ahmedabad","12.16","7.43","5.3","4.14","5.65","73.78","143.2","71.67","140.74","58.73","27.2","14.89"
"121","1967","3","Gujarat","Ahmedabad","9.24","6.34","29.08","5.34","2.83","96.3","139.99","124.13","112.28","72.39","33.81","32.2"
"121","1968","3","Gujarat","Ahmedabad","19.75","16.19","17.22","6.19","4.5","14.15","140.47","132.21","76.68","36.87","17.56","11.05"
"121","1969","3","Gujarat","Ahmedabad","7.65","5.82","4.02","3.14","2.52","62.28","141.18","85.07","130.81","8.7","7.04","8.38"
"121","1970","3","Gujarat","Ahmedabad","3.22","3.57","10.38","2.4","7.04","153.18","138.26","122.83","134.36","87.14","46.76","32.06"
"121","1971","3","Gujarat","Ahmedabad","29.36","23.54","15.05","9.2","12.28","134.83","134.84","122.01","123.39","49.78","21.03","15.66"
"121","1972","3","Gujarat","Ahmedabad","10.09","9.1","4.83","3.66","3.19","33.33","139.6","120.86","20.11","5.92","4.0","2.96"
"121","1973","3","Gujarat","Ahmedabad","5.32","2.73","1.53","1.29","7.13","88.24","138.02","128.99","132.42","84.28","44.11","35.03"
"121","1974","3","Gujarat","Ahmedabad","23.31","17.09","10.63","6.98","38.56","26.91","80.64","47.98","56.98","22.49","1.43","5.7"
"121","1975","3","Gujarat","Ahmedabad","1.34","1.03","0.84","0.75","0.74","114.61","112.37","125.23","135.34","108.52","46.6","28.73"
"121","1976","3","Gujarat","Ahmedabad","26.66","18.46","17.34","7.32","5.18","172.78","142.15","129.3","127.12","81.23","62.53","29.39"
"121","1977","3","Gujarat","Ahmedabad","31.1","17.23","10.75","9.06","22.57","129.25","138.37","125.57","139.3","81.24","47.28","26.73"
"121","1978","3","Gujarat","Ahmedabad","23.29","18.68","10.58","14.38","4.96","122.17","135.88","129.03","74.29","45.65","33.76","22.64"
"121","1979","3","Gujarat","Ahmedabad","9.82","13.12","4.59","5.32","4.59","95.15","80.83","130.19","87.83","43.72","65.45","12.54"
"121","1980","3","Gujarat","Ahmedabad","9.74","6.55","4.31","3.7","3.04","174.79","140.0","126.54","76.49","39.68","21.81","25.33"
"121","1981","3","Gujarat","Ahmedabad","11.95","6.05","22.64","4.91","4.64","60.72","146.06","129.88","122.96","96.43","56.8","32.38"
"121","1982","3","Gujarat","Ahmedabad","28.44","17.26","12.7","11.31","34.16","21.77","144.95","121.23","35.47","19.16","62.14","6.16"
"121","1983","3","Gujarat","Ahmedabad","5.25","3.43","2.69","5.94","2.51","79.62","141.4","129.09","125.08","96.84","49.55","34.39"
"121","1984","3","Gujarat","Ahmedabad","27.5","18.85","11.13","7.29","5.2","41.78","140.37","129.05","114.68","60.51","31.61","20.85"
"121","1985","3","Gujarat","Ahmedabad","15.5","9.65","6.56","5.83","11.35","17.7","146.78","127.9","51.12","42.48","10.22","6.81"
"121","1986","3","Gujarat","Ahmedabad","4.72","3.62","2.77","2.19","6.67","180.03","66.01","102.28","9.24","2.39","2.28","1.73"
"121","1987","3","Gujarat","Ahmedabad","1.5","2.32","5.21","0.75","3.63","20.32","41.84","120.63","4.95","3.23","1.59","13.95"
"121","1988","3","Gujarat","Ahmedabad","1.08","0.75","0.66","6.87","0.54","38.65","143.27","128.56","135.91","83.7","40.23","27.31"
"121","1989","3","Gujarat","Ahmedabad","22.43","13.21","11.99","5.81","4.49","88.36","143.57","127.45","79.98","47.47","24.23","14.87"
"121","1990","3","Gujarat","Ahmedabad","10.23","9.52","4.83","3.66","19.07","24.32","144.08","127.12","133.58","83.72","51.32","40.07"
"121","1991","3","Gujarat","Ahmedabad","25.64","18.72","11.59","7.62","5.37","22.95","135.83","100.39","67.89","34.92","19.19","12.76"
"121","1992","3","Gujarat","Ahmedabad","10.87","5.39","3.99","3.11","2.98","22.54","147.02","120.32","138.37","78.64","40.75","22.34"
"121","1993","3","Gujarat","Ahmedabad","15.63","10.39","6.77","4.88","3.82","23.96","146.19","101.48","124.72","64.65","38.64","19.3"
"121","1994","3","Gujarat","Ahmedabad","20.52","8.36","5.76","4.76","3.56","73.24","140.13","130.28","140.87","92.27","56.23","30.78"
"121","1995","3","Gujarat","Ahmedabad","25.76","15.22","17.44","7.72","5.08","14.19","144.41","83.5","90.25","18.27","11.22","8.99"
"121","1996","3","Gujarat","Ahmedabad","5.57","3.49","3.23","2.43","2.99","94.37","143.97","128.59","114.14","86.53","35.38","23.59"
"121","1997","3","Gujarat","Ahmedabad","25.81","12.2","9.75","12.03","12.11","114.08","136.47","130.87","134.99","50.69","26.8","16.29"
"121","1998","3","Gujarat","Ahmedabad","10.13","8.17","7.59","3.93","3.15","91.28","140.28","129.31","140.97","103.68","54.8","38.05"
"121","1999","3","Gujarat","Ahmedabad","29.16","22.14","12.03","7.73","7.96","133.81","141.43","59.28","56.09","69.01","8.18","5.53"
"121","2000","3","Gujarat","Ahmedabad","4.09","3.25","2.54","2.09","3.27","63.2","137.33","118.03","79.67","53.35","26.24","16.03"
"121","2001","3","Gujarat","Ahmedabad","10.9","7.14","5.58","9.55","28.34","165.38","133.29","113.66","41.46","41.62","12.8","7.93"
"121","2002","3","Gujarat","Ahmedabad","5.49","4.35","4.42","3.12","2.13","106.09","44.05","112.74","63.91","1.51","1.72","1.81"
"121","2003","3","Gujarat","Ahmedabad","1.2","8.43","0.73","0.66","0.7","52.68","132.17","125.16","98.33","71.08","35.9","23.57"
"121","2004","3","Gujarat","Ahmedabad","19.33","12.04","7.86","5.51","11.79","92.74","132.25","126.03","90.67","70.29","33.08","20.55"
"121","2005","3","Gujarat","Ahmedabad","16.69","11.23","8.01","5.59","4.35","160.85","139.72","125.32","135.05","82.99","44.91","30.91"
"121","2006","3","Gujarat","Ahmedabad","26.73","21.68","50.23","8.55","6.93","97.61","134.66","124.72","129.63","83.69","45.78","34.09"
"121","2007","3","Gujarat","Ahmedabad","28.11","22.08","18.16","8.73","8.36","84.7","136.24","122.58","131.09","82.94","46.65","33.77"
"121","2008","3","Gujarat","Ahmedabad","27.08","19.43","12.35","13.06","6.27","45.95","136.18","121.78","130.64","76.86","45.66","28.63"
"121","2009","3","Gujarat","Ahmedabad","20.58","14.33","10.48","6.15","5.48","38.92","132.03","120.71","90.07","58.56","29.28","15.18"
"121","2010","3","Gujarat","Ahmedabad","11.81","7.58","5.21","4.09","3.17","60.48","129.97","118.09","130.76","89.95","64.42","34.65"
"121","2011","3","Gujarat","Ahmedabad","30.98","24.32","15.46","9.37","6.47","49.01","131.26","123.18","120.9","77.66","41.94","25.95"
"121","2012","3","Gujarat","Ahmedabad","20.48","14.82","9.43","8.5","5.31","29.92","73.97","122.46","130.54","67.07","32.67","23.53"
"121","2013","3","Gujarat","Ahmedabad","17.94","12.9","15.78","9.06","4.33","102.2","128.09","119.72","138.0","100.8","53.4","33.79"
"121","2014","3","Gujarat","Ahmedabad","38.95","23.21","16.57","16.34","6.91","11.11","139.22","119.58","130.04","88.81","47.34","32.67"
"121","2015","3","Gujarat","Ahmedabad","33.48","23.07","25.4","23.81","9.58","126.37","146.17","69.83","110.88","31.99","18.25","10.06"
"122","1958","3","Gujarat","Amreli","10.02","5.94","4.03","2.93","2.23","55.76","138.06","122.23","134.35","110.23","59.2","21.02"
"122","1959","3","Gujarat","Amreli","9.81","5.94","4.03","3.07","5.74","90.28","138.49","115.81","130.39","109.03","50.08","18.32"
"122","1960","3","Gujarat","Amreli","9.18","5.65","3.87","2.85","3.95","120.22","138.42","66.6","90.44","13.21","5.36","3.56"
"122","1961","3","Gujarat","Amreli","2.6","3.86","1.56","1.27","3.2","63.27","132.84","120.67","130.9","94.67","38.23","14.06"
"122","1962","3","Gujarat","Amreli","7.7","4.94","32.63","2.93","5.54","27.32","135.74","106.67","128.99","45.38","24.18","9.82"
"122","1963","3","Gujarat","Amreli","5.21","3.33","15.16","1.93","2.37","46.79","137.06","129.33","107.33","76.81","42.15","8.09"
"122","1964","3","Gujarat","Amreli","5.1","3.54","2.62","2.03","7.01","136.37","133.46","128.39","125.75","84.58","27.19","11.65"
"122","1965","3","Gujarat","Amreli","7.21","4.46","4.28","2.54","3.1","3.34","138.77","123.15","119.75","71.6","21.53","9.07"
"122","1966","3","Gujarat","Amreli","5.62","3.84","2.81","2.25","4.15","101.36","134.33","35.11","115.01","7.05","4.47","3.14"
"122","1967","3","Gujarat","Amreli","2.35","1.84","2.04","1.54","1.02","95.43","137.26","96.78","81.75","19.01","9.15","20.19"
"122","1968","3","Gujarat","Amreli","4.01","2.98","3.33","1.71","1.39","16.64","137.44","133.66","93.31","43.95","11.62","6.52"
"122","1969","3","Gujarat","Amreli","4.32","3.14","2.33","1.83","1.48","62.24","136.31","66.56","70.55","7.71","7.36","7.08"
"122","1970","3","Gujarat","Amreli","2.42","1.9","10.85","1.26","12.37","110.84","137.11","125.23","129.62","97.53","46.5","17.06"
"122","1971","3","Gujarat","Amreli","8.77","5.46","3.77","2.77","9.09","106.53","133.71","121.87","128.06","54.24","16.69","8.52"
"122","1972","3","Gujarat","Amreli","5.32","5.75","2.71","2.1","3.13","68.97","135.97","54.46","8.65","1.7","1.23","1.0"
"122","1973","3","Gujarat","Amreli","1.25","1.08","0.62","0.54","5.48","56.06","137.63","103.91","126.08","43.24","13.17","7.28"
"122","1974","3","Gujarat","Amreli","4.64","3.28","2.46","1.95","19.06","9.77","94.71","36.87","50.16","32.91","0.61","1.47"
"122","1975","3","Gujarat","Amreli","0.49","0.45","0.4","0.33","0.66","80.35","83.1","120.5","126.53","85.5","7.29","4.07"
"122","1976","3","Gujarat","Amreli","2.98","1.98","6.33","1.24","1.02","133.9","137.29","116.67","102.83","12.9","32.64","3.39"
"122","1977","3","Gujarat","Amreli","2.62","1.8","1.42","2.02","9.65","90.36","133.47","106.06","130.9","73.51","26.12","9.89"
"122","1978","3","Gujarat","Amreli","5.97","4.13","2.94","3.26","1.76","167.86","113.59","125.84","49.34","34.51","20.64","7.77"
"122","1979","3","Gujarat","Amreli","3.11","4.58","1.83","1.67","1.72","157.31","57.29","130.71","106.72","72.82","82.02","11.62"
"122","1980","3","Gujarat","Amreli","6.99","4.65","3.16","3.1","2.22","160.11","136.5","119.36","90.92","41.07","15.56","21.18"
"122","1981","3","Gujarat","Amreli","5.49","3.49","28.06","2.24","1.69","66.56","138.87","126.3","123.57","108.85","61.36","18.99"
"122","1982","3","Gujarat","Amreli","9.35","5.62","3.95","2.83","26.47","6.21","135.28","112.91","63.16","18.44","79.32","4.56"
"122","1983","3","Gujarat","Amreli","3.2","2.88","1.86","2.19","1.23","172.14","133.79","126.68","121.74","100.13","42.62","14.54"
"122","1984","3","Gujarat","Amreli","7.88","5.04","3.52","2.62","2.02","59.07","133.28","116.54","130.91","24.57","8.77","5.04"
"122","1985","3","Gujarat","Amreli","3.39","2.48","1.91","1.55","20.85","10.43","92.89","109.12","35.11","45.17","2.38","0.7"
"122","1986","3","Gujarat","Amreli","0.59","0.52","0.45","0.39","1.42","178.71","42.89","79.37","19.52","3.29","4.73","2.87"
"122","1987","3","Gujarat","Amreli","1.52","1.35","1.12","0.84","1.56","20.59","47.73","97.73","4.74","4.87","0.64","5.05"
"122","1988","3","Gujarat","Amreli","0.33","0.3","0.28","0.57","0.24","46.18","139.52","109.61","132.05","92.85","30.79","12.5"
"122","1989","3","Gujarat","Amreli","7.67","4.64","5.29","2.49","1.97","125.08","137.94","104.86","70.46","19.11","8.04","5.04"
"122","1990","3","Gujarat","Amreli","3.5","3.29","2.0","1.6","19.49","42.26","95.35","125.6","106.14","68.6","18.8","12.89"
"122","1991","3","Gujarat","Amreli","5.62","3.9","2.93","2.26","2.05","8.74","132.55","85.71","31.73","9.52","5.91","5.98"
"122","1992","3","Gujarat","Amreli","3.56","2.15","1.7","1.38","1.17","31.45","139.52","122.93","129.37","91.36","32.13","12.78"
"122","1993","3","Gujarat","Amreli","7.29","4.86","3.8","2.5","1.95","29.3","142.38","74.45","113.16","46.24","16.07","5.09"
"122","1994","3","Gujarat","Amreli","4.14","2.42","1.88","1.68","1.76","47.67","137.13","114.63","131.84","87.84","28.21","11.87"
"122","1995","3","Gujarat","Amreli","6.94","4.51","3.65","2.51","1.96","7.28","135.64","74.97","82.5","16.63","9.93","4.49"
"122","1996","3","Gujarat","Amreli","2.99","2.15","1.82","1.38","2.91","118.06","137.99","105.37","93.15","69.32","12.15","6.9"
"122","1997","3","Gujarat","Amreli","5.06","3.23","3.32","3.08","3.35","106.6","136.24","123.86","128.44","61.65","22.7","10.82"
"122","1998","3","Gujarat","Amreli","5.58","4.46","3.52","2.15","1.74","105.01","135.67","125.73","113.08","121.53","51.5","17.62"
"122","1999","3","Gujarat","Amreli","8.91","5.69","3.8","2.78","2.97","117.76","124.5","29.78","52.79","57.31","1.14","0.94"
"122","2000","3","Gujarat","Amreli","0.79","0.68","0.59","0.52","1.98","76.59","133.24","115.04","75.04","29.56","10.45","6.91"
"122","2001","3","Gujarat","Amreli","4.12","2.98","2.38","2.13","27.44","150.79","128.43","93.11","29.5","40.02","5.14","3.31"
"122","2002","3","Gujarat","Amreli","2.45","1.92","1.75","1.26","1.08","87.83","25.85","125.35","32.65","6.08","3.64","3.61"
"122","2003","3","Gujarat","Amreli","1.83","2.28","1.17","0.97","0.83","75.17","125.71","121.81","95.2","51.43","15.54","8.25"
"122","2004","3","Gujarat","Amreli","5.79","3.63","2.68","2.07","6.61","111.31","120.14","124.83","106.07","84.71","25.51","10.92"
"122","2005","3","Gujarat","Amreli","6.42","4.27","3.88","2.35","1.93","90.2","133.72","114.3","129.38","79.05","29.33","12.13"
"122","2006","3","Gujarat","Amreli","6.94","4.56","32.41","2.44","2.32","83.21","128.29","122.15","118.4","85.7","34.57","12.97"
"122","2007","3","Gujarat","Amreli","7.29","6.0","5.02","2.51","2.48","108.25","127.53","117.55","125.05","83.47","29.56","12.06"
"122","2008","3","Gujarat","Amreli","6.92","4.73","3.24","2.81","1.9","63.56","123.17","108.7","125.61","83.87","30.0","15.95"
"122","2009","3","Gujarat","Amreli","6.93","4.55","4.22","2.44","1.97","99.79","125.33","110.39","87.53","39.19","35.48","7.18"
"122","2010","3","Gujarat","Amreli","4.7","3.48","2.47","1.93","1.57","53.2","119.62","114.72","124.45","90.3","77.34","26.85"
"122","2011","3","Gujarat","Amreli","11.82","6.94","4.48","3.22","2.41","131.08","126.66","120.86","122.88","81.31","27.37","11.67"
"122","2012","3","Gujarat","Amreli","6.76","4.47","3.19","2.56","1.93","20.41","57.96","76.96","124.5","46.95","14.03","8.78"
"122","2013","3","Gujarat","Amreli","4.93","3.45","6.23","2.15","1.61","118.15","122.68","101.93","128.66","99.12","42.55","15.61"
"122","2014","3","Gujarat","Amreli","8.31","5.18","4.29","3.01","2.08","29.87","128.3","120.17","125.98","97.74","50.68","17.89"
"122","2015","3","Gujarat","Amreli","9.15","5.38","15.12","4.07","3.28","142.14","138.18","24.84","112.24","7.31","8.05","2.31"
"123","1958","3","Gujarat","Banaskantha","10.8","5.98","3.83","3.72","2.03","23.54","147.82","101.43","143.23","94.07","36.0","16.53"
"123","1959","3","Gujarat","Banaskantha","10.04","5.93","3.81","5.37","2.06","29.5","145.12","125.72","136.79","88.65","27.34","13.46"
"123","1960","3","Gujarat","Banaskantha","9.58","5.12","3.39","2.45","2.25","44.98","125.93","83.07","43.72","7.4","2.91","2.92"
"123","1961","3","Gujarat","Banaskantha","1.54","3.87","0.88","0.84","0.94","64.59","137.34","110.81","135.87","78.54","22.92","12.16"
"123","1962","3","Gujarat","Banaskantha","7.15","4.62","58.2","2.62","2.4","14.28","137.63","99.03","123.65","17.98","10.07","6.53"
"123","1963","3","Gujarat","Banaskantha","5.06","2.35","10.56","1.73","1.27","18.83","121.69","126.08","142.98","88.26","36.19","15.05"
"123","1964","3","Gujarat","Banaskantha","7.52","4.59","3.13","2.29","3.46","27.32","149.22","134.46","120.64","51.04","17.71","9.13"
"123","1965","3","Gujarat","Banaskantha","16.29","3.6","14.74","2.63","1.93","2.44","153.87","120.49","73.65","22.59","9.95","5.67"
"123","1966","3","Gujarat","Banaskantha","4.18","2.72","2.02","1.58","2.41","42.41","150.81","38.73","147.55","40.81","14.91","7.26"
"123","1967","3","Gujarat","Banaskantha","4.36","2.97","58.96","1.69","1.36","51.65","145.37","121.18","124.89","50.66","17.44","20.55"
"123","1968","3","Gujarat","Banaskantha","7.38","4.93","15.61","2.19","1.71","2.53","130.43","112.52","30.24","9.23","3.96","2.45"
"123","1969","3","Gujarat","Banaskantha","1.87","2.11","1.04","0.82","0.69","22.61","126.16","59.12","61.84","3.74","4.25","3.26"
"123","1970","3","Gujarat","Banaskantha","1.23","1.37","0.66","1.01","0.79","54.74","105.0","122.69","135.06","84.64","27.86","13.24"
"123","1971","3","Gujarat","Banaskantha","8.99","5.83","3.77","2.69","2.61","68.69","140.89","110.88","111.36","36.22","13.56","8.81"
"123","1972","3","Gujarat","Banaskantha","5.28","6.08","2.48","1.92","1.7","23.62","116.07","113.44","15.64","5.4","2.87","1.9"
"123","1973","3","Gujarat","Banaskantha","5.53","1.4","0.86","0.72","1.88","68.09","141.36","132.73","135.09","75.68","21.28","13.17"
"123","1974","3","Gujarat","Banaskantha","7.24","4.68","3.17","2.31","13.05","11.84","52.77","39.72","37.08","18.49","0.6","3.92"
"123","1975","3","Gujarat","Banaskantha","0.89","0.42","0.46","0.33","0.33","95.95","140.93","129.03","140.51","106.91","28.84","14.4"
"123","1976","3","Gujarat","Banaskantha","14.73","5.87","5.84","2.64","1.97","62.42","147.69","132.91","125.88","46.61","31.23","9.42"
"123","1977","3","Gujarat","Banaskantha","18.35","4.82","2.72","2.51","11.26","90.34","144.4","121.79","138.48","57.28","19.94","9.84"
"123","1978","3","Gujarat","Banaskantha","6.31","8.01","2.87","3.17","1.65","62.15","141.64","130.87","65.14","26.27","22.26","11.13"
"123","1979","3","Gujarat","Banaskantha","3.8","6.8","2.0","1.8","1.76","30.12","93.19","128.78","55.23","27.59","35.8","4.5"
"123","1980","3","Gujarat","Banaskantha","3.65","2.88","1.67","1.33","1.14","125.36","146.26","111.15","37.21","10.83","5.7","18.34"
"123","1981","3","Gujarat","Banaskantha","3.63","1.52","32.37","1.01","3.27","19.05","155.56","130.44","124.04","59.2","37.12","11.43"
"123","1982","3","Gujarat","Banaskantha","9.52","4.44","6.44","3.06","11.04","12.39","152.26","104.74","40.52","18.26","43.64","5.19"
"123","1983","3","Gujarat","Banaskantha","3.95","2.31","1.77","2.68","2.79","23.5","150.13","131.47","115.39","54.08","17.75","10.72"
"123","1984","3","Gujarat","Banaskantha","6.92","4.27","2.84","2.13","1.59","11.08","129.99","128.66","119.07","46.43","16.07","8.63"
"123","1985","3","Gujarat","Banaskantha","5.37","3.57","3.4","3.02","4.23","29.18","123.59","117.91","30.18","20.71","3.17","2.22"
"123","1986","3","Gujarat","Banaskantha","1.57","1.31","1.52","0.88","2.74","60.38","104.49","103.82","7.24","3.39","1.34","1.12"
"123","1987","3","Gujarat","Banaskantha","2.24","1.19","19.89","0.4","2.36","17.51","26.75","68.69","1.81","1.92","0.31","10.07"
"123","1988","3","Gujarat","Banaskantha","1.64","0.16","1.78","1.59","0.14","19.61","149.56","135.38","130.35","56.52","18.25","9.68"
"123","1989","3","Gujarat","Banaskantha","9.11","3.9","6.52","2.05","1.65","28.42","153.12","128.15","76.51","24.02","10.62","6.09"
"123","1990","3","Gujarat","Banaskantha","3.98","5.54","2.13","1.64","5.03","10.61","107.14","128.57","140.82","76.65","23.11","23.51"
"123","1991","3","Gujarat","Banaskantha","7.49","4.83","3.14","2.4","1.75","10.07","139.5","64.36","48.88","12.51","7.92","6.84"
"123","1992","3","Gujarat","Banaskantha","8.86","2.45","2.05","1.11","1.32","6.7","154.12","124.41","139.65","76.32","22.27","10.91"
"123","1993","3","Gujarat","Banaskantha","6.91","5.68","3.2","2.61","1.9","22.41","154.41","93.81","108.79","29.95","25.58","6.97"
"123","1994","3","Gujarat","Banaskantha","12.25","3.1","2.19","2.1","1.44","33.03","144.76","130.61","141.61","76.47","21.11","10.21"
"123","1995","3","Gujarat","Banaskantha","10.89","4.23","7.99","2.41","1.8","8.03","152.48","97.98","72.75","31.81","10.53","8.86"
"123","1996","3","Gujarat","Banaskantha","5.5","2.69","3.31","1.76","2.47","91.06","152.44","124.18","99.05","43.52","13.57","7.76"
"123","1997","3","Gujarat","Banaskantha","13.39","3.29","11.53","3.15","3.66","70.69","99.37","133.01","131.66","50.34","19.74","9.11"
"123","1998","3","Gujarat","Banaskantha","5.32","5.61","10.43","2.77","1.5","56.34","148.97","111.05","144.47","72.08","22.16","11.62"
"123","1999","3","Gujarat","Banaskantha","8.35","6.59","3.02","2.19","2.73","54.99","127.32","57.03","32.58","57.43","5.43","1.96"
"123","2000","3","Gujarat","Banaskantha","1.49","1.44","0.89","0.78","1.04","18.93","147.55","105.0","45.53","17.36","8.74","5.36"
"123","2001","3","Gujarat","Banaskantha","3.4","2.42","2.47","3.14","7.66","98.36","138.57","104.41","44.33","30.09","8.43","4.99"
"123","2002","3","Gujarat","Banaskantha","3.33","2.59","2.58","1.72","1.23","40.24","26.35","57.5","51.49","0.54","3.0","2.07"
"123","2003","3","Gujarat","Banaskantha","2.14","5.28","0.48","0.28","0.32","30.93","139.59","128.85","97.27","31.41","12.96","7.18"
"123","2004","3","Gujarat","Banaskantha","5.86","3.17","2.32","1.98","3.26","52.19","102.99","130.77","55.91","29.02","9.14","5.48"
"123","2005","3","Gujarat","Banaskantha","5.0","2.74","2.93","2.3","2.25","62.73","146.09","109.08","138.41","69.34","20.12","11.0"
"123","2006","3","Gujarat","Banaskantha","6.95","4.51","59.91","2.33","2.09","37.38","142.12","126.17","135.57","75.89","20.72","13.44"
"123","2007","3","Gujarat","Banaskantha","6.99","6.95","24.39","2.81","2.39","45.0","145.18","125.07","128.7","53.22","18.13","10.28"
"123","2008","3","Gujarat","Banaskantha","6.51","4.15","3.52","5.08","3.35","47.44","135.39","122.84","123.44","25.59","13.72","12.08"
"123","2009","3","Gujarat","Banaskantha","4.45","2.88","4.6","1.56","1.8","20.7","141.22","113.72","72.24","25.55","10.26","6.43"
"123","2010","3","Gujarat","Banaskantha","4.65","3.22","2.06","2.05","1.33","45.04","141.16","121.36","133.5","82.64","45.94","13.58"
"123","2011","3","Gujarat","Banaskantha","8.31","6.16","3.66","2.48","2.12","11.76","132.97","125.59","130.46","66.77","19.88","10.64"
"123","2012","3","Gujarat","Banaskantha","6.74","4.37","3.0","3.8","2.19","14.66","63.36","118.73","133.23","71.1","20.65","12.58"
"123","2013","3","Gujarat","Banaskantha","7.35","5.6","28.12","3.86","1.85","57.16","134.75","125.21","140.24","80.53","28.99","14.79"
"123","2014","3","Gujarat","Banaskantha","13.96","5.88","3.99","5.22","2.59","6.57","146.62","96.96","130.97","76.72","22.8","11.68"
"123","2015","3","Gujarat","Banaskantha","12.18","4.88","14.0","6.53","2.78","58.48","148.62","100.08","98.65","27.57","13.12","6.84"
"124","1958","3","Gujarat","Bharuch","37.87","21.95","13.36","8.15","5.85","102.34","133.78","122.95","133.67","118.37","71.7","44.13"
"124","1959","3","Gujarat","Bharuch","37.9","21.88","12.36","8.35","6.77","136.73","135.65","127.42","131.77","122.83","71.45","51.89"
"124","1960","3","Gujarat","Bharuch","39.67","20.21","11.69","7.97","12.94","144.03","136.02","120.54","118.88","58.05","30.35","17.68"
"124","1961","3","Gujarat","Bharuch","10.92","11.52","4.93","3.71","4.63","88.12","130.55","126.94","132.5","103.26","61.63","45.74"
"124","1962","3","Gujarat","Bharuch","27.86","14.77","15.64","8.5","12.56","44.69","132.73","111.58","130.16","76.49","42.42","28.0"
"124","1963","3","Gujarat","Bharuch","21.63","9.66","8.85","5.32","4.65","80.91","136.59","126.38","134.23","101.67","69.33","47.63"
"124","1964","3","Gujarat","Bharuch","31.71","15.92","9.82","6.73","7.09","80.84","133.38","126.68","127.65","89.13","64.28","40.7"
"124","1965","3","Gujarat","Bharuch","27.11","12.65","8.58","6.28","5.27","83.33","133.93","124.3","88.8","79.62","46.13","20.45"
"124","1966","3","Gujarat","Bharuch","11.99","7.74","5.54","4.48","4.11","128.47","134.14","95.55","132.93","80.63","49.29","27.97"
"124","1967","3","Gujarat","Bharuch","14.66","9.11","7.27","5.58","3.73","140.18","133.08","125.53","115.94","83.28","47.14","36.89"
"124","1968","3","Gujarat","Bharuch","24.47","15.57","9.41","6.13","4.54","37.33","133.05","128.99","101.64","79.56","44.22","27.63"
"124","1969","3","Gujarat","Bharuch","18.77","11.02","7.19","5.18","3.92","92.97","133.06","110.72","128.79","71.29","44.63","29.4"
"124","1970","3","Gujarat","Bharuch","20.07","12.4","10.4","5.73","13.08","164.29","132.26","121.83","128.75","87.47","53.6","38.13"
"124","1971","3","Gujarat","Bharuch","31.04","18.63","11.0","7.45","22.64","138.91","132.94","123.81","127.19","78.26","40.77","31.99"
"124","1972","3","Gujarat","Bharuch","19.72","12.94","7.5","5.39","6.19","48.9","136.48","119.03","45.08","22.3","12.09","7.38"
"124","1973","3","Gujarat","Bharuch","6.54","6.61","2.68","2.15","5.84","81.51","131.85","125.86","125.75","92.34","55.25","43.14"
"124","1974","3","Gujarat","Bharuch","27.84","15.21","9.48","6.54","27.55","20.06","128.77","76.96","78.15","33.52","7.01","6.76"
"124","1975","3","Gujarat","Bharuch","3.19","2.64","1.93","1.59","1.38","122.78","124.73","123.14","127.79","136.5","68.97","45.53"
"124","1976","3","Gujarat","Bharuch","40.31","25.55","13.89","8.71","6.09","177.8","133.74","126.0","128.46","90.55","80.06","42.25"
"124","1977","3","Gujarat","Bharuch","36.41","18.82","12.02","8.32","14.7","135.22","131.09","124.32","128.62","86.02","57.41","33.77"
"124","1978","3","Gujarat","Bharuch","27.1","16.95","9.48","9.38","4.77","153.75","131.64","127.42","93.58","74.1","55.11","27.57"
"124","1979","3","Gujarat","Bharuch","13.55","16.82","5.86","4.64","4.37","113.38","122.83","127.88","106.81","76.86","90.93","31.95"
"124","1980","3","Gujarat","Bharuch","22.29","12.83","8.06","5.55","4.45","158.4","133.68","123.82","86.43","63.66","35.01","27.97"
